,IF-FromMarket,IF-FromTranshu,IF-FromAtmo,Households,MobileHerds,FattenedAn,ORPHeaps,StrawPiles,HomeFields,BushFields,Rangelands,Millet,Groundnut,FallowVeg,SpontVeg,Weeds,Trees
TF-ToHouseholds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.37332059305855,19.235994891424063,0.0,0.0,0.0,0.0
TF-ToMobileHerds,0.0,6.54149409017048,0.0,0.0,0.0,0.0,0.0,0.0,0.7507661928954893,1.4005202071104947,1.326808617262574,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFattenedAn,91.11248037917943,0.0,0.0,0.0,0.0,0.0,0.0,0.7780667817280525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToORPHeaps,0.0,0.0,0.0,59.21770723671294,0.0,1.7881885685328929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToStrawPiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.412984982806243,0.0,21.450072645744946,0.0,0.0,0.0
TF-ToHomeFields,0.0,0.0,10.613876184406863,0.0,0.6907048974638502,0.0,16.740721072127783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.881909994072416
TF-ToBushFields,0.0,0.0,97.26751478492719,0.0,0.22113476954376232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.4323422222306
TF-ToRangelands,0.0,0.0,6.566479506340899,0.0,0.20202435736096805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.18499888740752
TF-ToMillet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0719819292541,108.13217224801652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToGroundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.98369257293092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToFallowVeget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4724778276211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToSpontVeget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.45014931178208,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToWeeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.985087520826049,215.62005059958454,13.906919951307719,0.0,0.0,0.0,0.0,0.0,0.0
TF-ToTrees,0.0,0.0,421.4992511037105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-SoldOnMarket,0.0,0.0,0.0,0.0,0.0,3.2760706599075897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-ToTranshu,0.0,0.0,0.0,0.0,6.541221084282155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-GHG,0.0,0.0,0.0,0.0,0.0,0.0,0.01638035329953795,0.0,0.6988950741136192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OF-AtmoLosses,0.0,0.0,0.0,0.0,0.0,0.0,0.8053673705606158,0.0,4.62744980711947,0.049141059898613844,0.040950883248844876,0.0,0.0,0.0,0.0,0.0,0.0
